Freq.	V(Vout+,Vout-)*45
4.00000000000000e+003	(-3.52904719850360e+001dB,1.73067513002786e+002°)
4.11611611611612e+003	(-3.47945761931178e+001dB,1.72867281872454e+002°)
4.23223223223223e+003	(-3.43125433002582e+001dB,1.72667136632711e+002°)
4.34834834834835e+003	(-3.38436243883785e+001dB,1.72467079566679e+002°)
4.46446446446447e+003	(-3.33871297431289e+001dB,1.72267112946062e+002°)
4.58058058058058e+003	(-3.29424227714936e+001dB,1.72067239030867e+002°)
4.69669669669670e+003	(-3.25089146809392e+001dB,1.71867460069126e+002°)
4.81281281281281e+003	(-3.20860598084766e+001dB,1.71667778296622e+002°)
4.92892892892893e+003	(-3.16733515066449e+001dB,1.71468195936621e+002°)
5.04504504504505e+003	(-3.12703185085862e+001dB,1.71268715199598e+002°)
5.16116116116116e+003	(-3.08765217067841e+001dB,1.71069338282979e+002°)
5.27727727727728e+003	(-3.04915512902285e+001dB,1.70870067370869e+002°)
5.39339339339339e+003	(-3.01150241931911e+001dB,1.70670904633803e+002°)
5.50950950950951e+003	(-2.97465818157735e+001dB,1.70471852228478e+002°)
5.62562562562563e+003	(-2.93858879822139e+001dB,1.70272912297508e+002°)
5.74174174174174e+003	(-2.90326271077983e+001dB,1.70074086969169e+002°)
5.85785785785786e+003	(-2.86865025493122e+001dB,1.69875378357154e+002°)
5.97397397397398e+003	(-2.83472351174135e+001dB,1.69676788560325e+002°)
6.09009009009009e+003	(-2.80145617322195e+001dB,1.69478319662474e+002°)
6.20620620620621e+003	(-2.76882342058767e+001dB,1.69279973732086e+002°)
6.32232232232232e+003	(-2.73680181379861e+001dB,1.69081752822102e+002°)
6.43843843843844e+003	(-2.70536919115605e+001dB,1.68883658969687e+002°)
6.55455455455456e+003	(-2.67450457787291e+001dB,1.68685694196006e+002°)
6.67067067067067e+003	(-2.64418810267319e+001dB,1.68487860505994e+002°)
6.78678678678679e+003	(-2.61440092158901e+001dB,1.68290159888137e+002°)
6.90290290290291e+003	(-2.58512514822243e+001dB,1.68092594314255e+002°)
7.01901901901902e+003	(-2.55634378982492e+001dB,1.67895165739284e+002°)
7.13513513513514e+003	(-2.52804068862177e+001dB,1.67697876101068e+002°)
7.25125125125125e+003	(-2.50020046787317e+001dB,1.67500727320151e+002°)
7.36736736736737e+003	(-2.47280848222068e+001dB,1.67303721299570e+002°)
7.48348348348349e+003	(-2.44585077191661e+001dB,1.67106859924657e+002°)
7.59959959959960e+003	(-2.41931402057791e+001dB,1.66910145062841e+002°)
7.71571571571572e+003	(-2.39318551614360e+001dB,1.66713578563454e+002°)
7.83183183183184e+003	(-2.36745311474870e+001dB,1.66517162257542e+002°)
7.94794794794795e+003	(-2.34210520725709e+001dB,1.66320897957679e+002°)
8.06406406406407e+003	(-2.31713068822191e+001dB,1.66124787457780e+002°)
8.18018018018018e+003	(-2.29251892706517e+001dB,1.65928832532929e+002°)
8.29629629629630e+003	(-2.26825974128891e+001dB,1.65733034939195e+002°)
8.41241241241242e+003	(-2.24434337154857e+001dB,1.65537396413469e+002°)
8.52852852852853e+003	(-2.22076045843518e+001dB,1.65341918673287e+002°)
8.64464464464465e+003	(-2.19750202082791e+001dB,1.65146603416672e+002°)
8.76076076076077e+003	(-2.17455943569110e+001dB,1.64951452321970e+002°)
8.87687687687688e+003	(-2.15192441920179e+001dB,1.64756467047692e+002°)
8.99299299299300e+003	(-2.12958900910379e+001dB,1.64561649232362e+002°)
9.10910910910911e+003	(-2.10754554819411e+001dB,1.64367000494368e+002°)
9.22522522522523e+003	(-2.08578666885552e+001dB,1.64172522431812e+002°)
9.34134134134135e+003	(-2.06430527855670e+001dB,1.63978216622369e+002°)
9.45745745745746e+003	(-2.04309454624843e+001dB,1.63784084623150e+002°)
9.57357357357358e+003	(-2.02214788959002e+001dB,1.63590127970564e+002°)
9.68968968968970e+003	(-2.00145896294603e+001dB,1.63396348180185e+002°)
9.80580580580581e+003	(-1.98102164609819e+001dB,1.63202746746629e+002°)
9.92192192192193e+003	(-1.96083003362194e+001dB,1.63009325143425e+002°)
1.00380380380380e+004	(-1.94087842488135e+001dB,1.62816084822895e+002°)
1.01541541541542e+004	(-1.92116131459956e+001dB,1.62623027216037e+002°)
1.02702702702703e+004	(-1.90167338396554e+001dB,1.62430153732412e+002°)
1.03863863863864e+004	(-1.88240949224112e+001dB,1.62237465760033e+002°)
1.05025025025025e+004	(-1.86336466883463e+001dB,1.62044964665258e+002°)
1.06186186186186e+004	(-1.84453410581066e+001dB,1.61852651792687e+002°)
1.07347347347347e+004	(-1.82591315080732e+001dB,1.61660528465066e+002°)
1.08508508508509e+004	(-1.80749730033470e+001dB,1.61468595983184e+002°)
1.09669669669670e+004	(-1.78928219343019e+001dB,1.61276855625786e+002°)
1.10830830830831e+004	(-1.77126360564819e+001dB,1.61085308649485e+002°)
1.11991991991992e+004	(-1.75343744336319e+001dB,1.60893956288668e+002°)
1.13153153153153e+004	(-1.73579973836680e+001dB,1.60702799755426e+002°)
1.14314314314314e+004	(-1.71834664274092e+001dB,1.60511840239463e+002°)
1.15475475475476e+004	(-1.70107442399004e+001dB,1.60321078908029e+002°)
1.16636636636637e+004	(-1.68397946041731e+001dB,1.60130516905846e+002°)
1.17797797797798e+004	(-1.66705823672977e+001dB,1.59940155355037e+002°)
1.18958958958959e+004	(-1.65030733985936e+001dB,1.59749995355061e+002°)
1.20120120120120e+004	(-1.63372345498701e+001dB,1.59560037982653e+002°)
1.21281281281281e+004	(-1.61730336175817e+001dB,1.59370284291764e+002°)
