Freq.	V(Vout+,Vout-)
Step Information: Rl=4  (Run: 1/7)
1.00000000000000e+005	(-4.52710158805943e+001dB,-9.45935903909534e+001°)
1.00200200200200e+005	(-4.51627008731924e+001dB,-9.46179175722879e+001°)
1.00400400400400e+005	(-4.50541899247756e+001dB,-9.46424385492936e+001°)
1.00600600600601e+005	(-4.49454802079737e+001dB,-9.46671558224394e+001°)
1.00800800800801e+005	(-4.48365688665871e+001dB,-9.46920719356220e+001°)
1.01001001001001e+005	(-4.47274530150214e+001dB,-9.47171894771285e+001°)
1.01201201201201e+005	(-4.46181297377123e+001dB,-9.47425110806236e+001°)
1.01401401401401e+005	(-4.45085960885360e+001dB,-9.47680394261648e+001°)
1.01601601601602e+005	(-4.43988490902087e+001dB,-9.47937772412440e+001°)
1.01801801801802e+005	(-4.42888857336727e+001dB,-9.48197273018587e+001°)
1.02002002002002e+005	(-4.41787029774693e+001dB,-9.48458924336123e+001°)
1.02202202202202e+005	(-4.40682977470978e+001dB,-9.48722755128445e+001°)
1.02402402402402e+005	(-4.39576669343611e+001dB,-9.48988794677936e+001°)
1.02602602602603e+005	(-4.38468073966967e+001dB,-9.49257072797908e+001°)
1.02802802802803e+005	(-4.37357159564927e+001dB,-9.49527619844889e+001°)
1.03003003003003e+005	(-4.36243894003890e+001dB,-9.49800466731242e+001°)
1.03203203203203e+005	(-4.35128244785623e+001dB,-9.50075644938156e+001°)
1.03403403403403e+005	(-4.34010179039962e+001dB,-9.50353186528999e+001°)
1.03603603603604e+005	(-4.32889663517329e+001dB,-9.50633124163057e+001°)
1.03803803803804e+005	(-4.31766664581100e+001dB,-9.50915491109664e+001°)
1.04004004004004e+005	(-4.30641148199783e+001dB,-9.51200321262746e+001°)
1.04204204204204e+005	(-4.29513079939019e+001dB,-9.51487649155785e+001°)
1.04404404404404e+005	(-4.28382424953404e+001dB,-9.51777509977222e+001°)
1.04604604604605e+005	(-4.27249147978112e+001dB,-9.52069939586311e+001°)
1.04804804804805e+005	(-4.26113213320328e+001dB,-9.52364974529442e+001°)
1.05005005005005e+005	(-4.24974584850473e+001dB,-9.52662652056946e+001°)
1.05205205205205e+005	(-4.23833225993228e+001dB,-9.52963010140408e+001°)
1.05405405405405e+005	(-4.22689099718333e+001dB,-9.53266087490494e+001°)
1.05605605605606e+005	(-4.21542168531180e+001dB,-9.53571923575317e+001°)
1.05805805805806e+005	(-4.20392394463161e+001dB,-9.53880558639361e+001°)
1.06006006006006e+005	(-4.19239739061796e+001dB,-9.54192033722980e+001°)
1.06206206206206e+005	(-4.18084163380614e+001dB,-9.54506390682498e+001°)
1.06406406406406e+005	(-4.16925627968782e+001dB,-9.54823672210927e+001°)
1.06606606606607e+005	(-4.15764092860479e+001dB,-9.55143921859327e+001°)
1.06806806806807e+005	(-4.14599517564013e+001dB,-9.55467184058829e+001°)
1.07007007007007e+005	(-4.13431861050651e+001dB,-9.55793504143356e+001°)
1.07207207207207e+005	(-4.12261081743181e+001dB,-9.56122928373051e+001°)
1.07407407407407e+005	(-4.11087137504175e+001dB,-9.56455503958452e+001°)
1.07607607607608e+005	(-4.09909985623956e+001dB,-9.56791279085441e+001°)
1.07807807807808e+005	(-4.08729582808259e+001dB,-9.57130302940985e+001°)
1.08008008008008e+005	(-4.07545885165567e+001dB,-9.57472625739709e+001°)
1.08208208208208e+005	(-4.06358848194123e+001dB,-9.57818298751339e+001°)
1.08408408408408e+005	(-4.05168426768600e+001dB,-9.58167374329026e+001°)
1.08608608608608e+005	(-4.03974575126422e+001dB,-9.58519905938610e+001°)
1.08808808808809e+005	(-4.02777246853726e+001dB,-9.58875948188843e+001°)
1.09009009009009e+005	(-4.01576394870941e+001dB,-9.59235556862619e+001°)
1.09209209209209e+005	(-4.00371971417990e+001dB,-9.59598788949245e+001°)
1.09409409409409e+005	(-3.99163928039094e+001dB,-9.59965702677794e+001°)
1.09609609609609e+005	(-3.97952215567152e+001dB,-9.60336357551588e+001°)
1.09809809809810e+005	(-3.96736784107712e+001dB,-9.60710814383848e+001°)
1.10010010010010e+005	(-3.95517583022487e+001dB,-9.61089135334568e+001°)
1.10210210210210e+005	(-3.94294560912426e+001dB,-9.61471383948657e+001°)
1.10410410410410e+005	(-3.93067665600310e+001dB,-9.61857625195393e+001°)
1.10610610610610e+005	(-3.91836844112861e+001dB,-9.62247925509262e+001°)
1.10810810810811e+005	(-3.90602042662352e+001dB,-9.62642352832224e+001°)
1.11011011011011e+005	(-3.89363206627690e+001dB,-9.63040976657461e+001°)
1.11211211211211e+005	(-3.88120280534967e+001dB,-9.63443868074693e+001°)
1.11411411411411e+005	(-3.86873208037445e+001dB,-9.63851099817096e+001°)
1.11611611611611e+005	(-3.85621931894977e+001dB,-9.64262746309913e+001°)
1.11811811811812e+005	(-3.84366393952811e+001dB,-9.64678883720829e+001°)
1.12012012012012e+005	(-3.83106535119797e+001dB,-9.65099590012162e+001°)
1.12212212212212e+005	(-3.81842295345934e+001dB,-9.65524944994984e+001°)
1.12412412412412e+005	(-3.80573613599263e+001dB,-9.65955030385227e+001°)
1.12612612612612e+005	(-3.79300427842072e+001dB,-9.66389929861868e+001°)
1.12812812812813e+005	(-3.78022675006379e+001dB,-9.66829729127301e+001°)
1.13013013013013e+005	(-3.76740290968687e+001dB,-9.67274515969962e+001°)
1.13213213213213e+005	(-3.75453210523965e+001dB,-9.67724380329338e+001°)
1.13413413413413e+005	(-3.74161367358830e+001dB,-9.68179414363444e+001°)
1.13613613613613e+005	(-3.72864694023917e+001dB,-9.68639712518894e+001°)
1.13813813813814e+005	(-3.71563121905377e+001dB,-9.69105371603677e+001°)
1.14014014014014e+005	(-3.70256581195499e+001dB,-9.69576490862761e+001°)
1.14214214214214e+005	(-3.68945000862403e+001dB,-9.70053172056662e+001°)
1.14414414414414e+005	(-3.67628308618779e+001dB,-9.70535519543107e+001°)
1.14614614614614e+005	(-3.66306430889625e+001dB,-9.71023640361940e+001°)
1.14814814814815e+005	(-3.64979292778960e+001dB,-9.71517644323426e+001°)
1.15015015015015e+005	(-3.63646818035459e+001dB,-9.72017644100107e+001°)
1.15215215215215e+005	(-3.62308929016973e+001dB,-9.72523755322385e+001°)
1.15415415415415e+005	(-3.60965546653886e+001dB,-9.73036096678010e+001°)
1.15615615615615e+005	(-3.59616590411273e+001dB,-9.73554790015663e+001°)
1.15815815815816e+005	(-3.58261978249793e+001dB,-9.74079960452825e+001°)
1.16016016016016e+005	(-3.56901626585292e+001dB,-9.74611736488157e+001°)
1.16216216216216e+005	(-3.55535450247029e+001dB,-9.75150250118601e+001°)
1.16416416416416e+005	(-3.54163362434505e+001dB,-9.75695636961448e+001°)
1.16616616616616e+005	(-3.52785274672808e+001dB,-9.76248036381607e+001°)
1.16816816816817e+005	(-3.51401096766435e+001dB,-9.76807591624360e+001°)
1.17017017017017e+005	(-3.50010736751507e+001dB,-9.77374449953858e+001°)
1.17217217217217e+005	(-3.48614100846330e+001dB,-9.77948762797673e+001°)
1.17417417417417e+005	(-3.47211093400212e+001dB,-9.78530685897707e+001°)
1.17617617617617e+005	(-3.45801616840478e+001dB,-9.79120379467794e+001°)
1.17817817817818e+005	(-3.44385571617598e+001dB,-9.79718008358343e+001°)
1.18018018018018e+005	(-3.42962856148344e+001dB,-9.80323742228402e+001°)
1.18218218218218e+005	(-3.41533366756899e+001dB,-9.80937755725531e+001°)
1.18418418418418e+005	(-3.40096997613819e+001dB,-9.81560228673901e+001°)
1.18618618618618e+005	(-3.38653640672758e+001dB,-9.82191346271082e+001°)
1.18818818818819e+005	(-3.37203185604856e+001dB,-9.82831299293974e+001°)
1.19019019019019e+005	(-3.35745519730689e+001dB,-9.83480284314399e+001°)
1.19219219219219e+005	(-3.34280527949661e+001dB,-9.84138503924873e+001°)
1.19419419419419e+005	(-3.32808092666731e+001dB,-9.84806166975159e+001°)
1.19619619619619e+005	(-3.31328093716350e+001dB,-9.85483488820171e+001°)
1.19819819819820e+005	(-3.29840408283484e+001dB,-9.86170691579900e+001°)
1.20020020020020e+005	(-3.28344910821571e+001dB,-9.86868004412053e+001°)
1.20220220220220e+005	(-3.26841472967297e+001dB,-9.87575663798116e+001°)
1.20420420420420e+005	(-3.25329963452011e+001dB,-9.88293913843656e+001°)
1.20620620620620e+005	(-3.23810248009645e+001dB,-9.89023006593678e+001°)
1.20820820820821e+005	(-3.22282189280949e+001dB,-9.89763202363937e+001°)
1.21021021021021e+005	(-3.20745646713885e+001dB,-9.90514770089162e+001°)
1.21221221221221e+005	(-3.19200476459976e+001dB,-9.91277987689210e+001°)
1.21421421421421e+005	(-3.17646531266424e+001dB,-9.92053142454248e+001°)
1.21621621621621e+005	(-3.16083660363783e+001dB,-9.92840531450128e+001°)
1.21821821821822e+005	(-3.14511709348965e+001dB,-9.93640461945204e+001°)
1.22022022022022e+005	(-3.12930520063348e+001dB,-9.94453251859945e+001°)
1.22222222222222e+005	(-3.11339930465741e+001dB,-9.95279230240769e+001°)
1.22422422422422e+005	(-3.09739774499944e+001dB,-9.96118737759656e+001°)
1.22622622622622e+005	(-3.08129881956614e+001dB,-9.96972127241186e+001°)
1.22822822822822e+005	(-3.06510078329169e+001dB,-9.97839764218789e+001°)
1.23023023023023e+005	(-3.04880184663391e+001dB,-9.98722027522123e+001°)
1.23223223223223e+005	(-3.03240017400417e+001dB,-9.99619309897635e+001°)
1.23423423423423e+005	(-3.01589388212770e+001dB,-1.00053201866452e+002°)
1.23623623623623e+005	(-2.99928103833035e+001dB,-1.00146057640848e+002°)
1.23823823823823e+005	(-2.98255965874822e+001dB,-1.00240542171584e+002°)
1.24024024024024e+005	(-2.96572770645568e+001dB,-1.00336700995079e+002°)
1.24224224224224e+005	(-2.94878308950752e+001dB,-1.00434581407876e+002°)
1.24424424424424e+005	(-2.93172365889037e+001dB,-1.00534232553921e+002°)
