time	V(n012)	V(n015)	I(L1)
0.000000000000000e+000	-1.221018e-018	0.000000e+000	-2.823224e-040
1.953124944761853e-012	4.380094e-006	9.506769e-004	3.891083e-015
2.001041699187837e-012	4.487631e-006	9.740004e-004	3.988303e-015
2.288542225743740e-012	5.134256e-006	1.113947e-003	4.629758e-015
2.671876261151612e-012	6.000654e-006	1.300557e-003	5.649592e-015
3.438544331967355e-012	7.747096e-006	1.673824e-003	8.332746e-015
4.971880473598840e-012	1.128902e-005	2.420540e-003	1.680320e-014
8.038552756861811e-012	1.853463e-005	3.914493e-003	4.472816e-014
1.125195217719248e-011	2.631231e-005	5.480696e-003	9.533073e-014
1.616133056340799e-011	3.845925e-005	7.875028e-003	2.254476e-013
2.178370225429516e-011	5.266150e-005	1.061932e-002	4.762964e-013
3.015303230660766e-011	7.420485e-005	1.470879e-002	1.102116e-012
4.065053448290306e-011	1.017244e-004	1.984569e-002	2.459988e-012
5.683508115309484e-011	1.449762e-004	2.778227e-002	6.227629e-012
8.032832269494664e-011	2.092920e-004	3.934163e-002	1.721719e-011
1.236984446540356e-010	3.325336e-004	6.081039e-002	6.592180e-011
2.104386885722136e-010	5.964045e-004	1.042435e-001	3.462133e-010
3.839191764085695e-010	1.193304e-003	1.930583e-001	2.202133e-009
7.308801520812813e-010	2.661331e-003	3.782997e-001	1.558542e-008
1.424802103426705e-009	6.686578e-003	7.704505e-001	8.543886e-008
2.114221093598307e-009	1.214713e-002	1.188832e+000	2.485049e-007
3.049128447917078e-009	2.197628e-002	1.800704e+000	6.837866e-007
3.933848457328127e-009	3.403374e-002	2.420467e+000	1.383874e-006
4.739046002149905e-009	4.750181e-002	3.020630e+000	2.373554e-006
5.569767547841938e-009	6.400336e-002	3.673868e+000	3.846238e-006
6.450544217898608e-009	8.442672e-002	4.401567e+000	6.020675e-006
7.489522750148508e-009	1.122822e-001	5.302656e+000	9.531714e-006
8.659572479025033e-009	1.481644e-001	6.358305e+000	1.454907e-005
9.070340753544239e-009	1.617542e-001	6.739660e+000	1.662667e-005
9.178463450961588e-009	1.653605e-001	6.841916e+000	1.723406e-005
9.394708845796288e-009	1.713048e-001	7.047843e+000	1.850013e-005
9.518974913865075e-009	1.721203e-001	7.166328e+000	1.923516e-005
9.648176167153172e-009	1.662556e-001	7.289317e+000	1.997403e-005
9.827533240754440e-009	1.426172e-001	7.459692e+000	2.093450e-005
9.849277279082399e-009	1.386018e-001	7.480359e+000	2.104016e-005
9.892765355738318e-009	1.302161e-001	7.521754e+000	2.123319e-005
9.913023846688163e-009	1.261782e-001	7.541066e+000	2.131799e-005
9.953540828587855e-009	1.179783e-001	7.579764e+000	2.147510e-005
1.000000000000000e-008	1.085117e-001	7.624204e+000	2.164492e-005
1.000464591714121e-008	1.075672e-001	7.626396e+000	2.166037e-005
1.001393775142364e-008	1.056811e-001	7.630779e+000	2.169074e-005
1.003252141998850e-008	1.019303e-001	7.639543e+000	2.174888e-005
1.006968875711822e-008	9.455126e-002	7.657063e+000	2.185478e-005
1.014402343137765e-008	8.051932e-002	7.692085e+000	2.203119e-005
1.026647848359150e-008	6.025310e-002	7.749722e+000	2.224532e-005
1.039794799522472e-008	4.297681e-002	7.811464e+000	2.237862e-005
1.059296685857076e-008	2.532617e-002	7.902692e+000	2.244619e-005
1.074588316825907e-008	1.686052e-002	7.973828e+000	2.242586e-005
1.086807531203362e-008	1.245411e-002	8.030280e+000	2.236903e-005
1.099627004750005e-008	9.352486e-003	8.089067e+000	2.228491e-005
1.114173415146785e-008	7.092264e-003	8.155249e+000	2.217159e-005
1.128247198886425e-008	5.726677e-003	8.218725e+000	2.204954e-005
1.143117972972678e-008	4.809467e-003	8.285168e+000	2.191096e-005
1.158766040507207e-008	4.189157e-003	8.354378e+000	2.175757e-005
1.176650258266431e-008	3.722780e-003	8.432590e+000	2.157502e-005
1.197190711735209e-008	3.360476e-003	8.521257e+000	2.135774e-005
