time	V(n012)	V(n015)	I(L1)
0.000000000000000e+000	-1.221018e-018	0.000000e+000	-1.434212e-039
1.953124944761853e-012	4.380094e-006	9.506769e-004	3.242570e-015
2.001041699187837e-012	4.487631e-006	9.740004e-004	3.323586e-015
2.288542225743740e-012	5.134256e-006	1.113947e-003	3.858132e-015
2.671876261151612e-012	6.000654e-006	1.300557e-003	4.707994e-015
3.438544331967355e-012	7.747096e-006	1.673824e-003	6.943955e-015
4.971880473598840e-012	1.128902e-005	2.420540e-003	1.400267e-014
8.038552756861811e-012	1.853463e-005	3.914493e-003	3.727347e-014
1.125195217719248e-011	2.631231e-005	5.480696e-003	7.944228e-014
1.616133056340799e-011	3.845925e-005	7.875028e-003	1.878730e-013
2.178370225263407e-011	5.266150e-005	1.061932e-002	3.969137e-013
3.015303230769077e-011	7.420485e-005	1.470879e-002	9.184298e-013
4.065053447857719e-011	1.017244e-004	1.984569e-002	2.049990e-012
5.683508114727874e-011	1.449762e-004	2.778227e-002	5.189691e-012
8.032832268240016e-011	2.092920e-004	3.934163e-002	1.434766e-011
1.236984446179042e-010	3.325336e-004	6.081039e-002	5.493485e-011
2.104386884889122e-010	5.964045e-004	1.042435e-001	2.885112e-010
3.839191762309283e-010	1.193304e-003	1.930583e-001	1.835112e-009
7.308801517149604e-010	2.661331e-003	3.782997e-001	1.298787e-008
1.424802102683025e-009	6.686579e-003	7.704505e-001	7.119936e-008
2.114225303857954e-009	1.214717e-002	1.189716e+000	2.115264e-007
3.138315220541693e-009	2.306380e-002	1.863484e+000	6.312273e-007
4.095913022153226e-009	3.654367e-002	2.539972e+000	1.309699e-006
4.946184869519302e-009	5.135958e-002	3.181008e+000	2.257062e-006
5.812529843326021e-009	6.932618e-002	3.871123e+000	3.656153e-006
6.732345826397550e-009	9.158162e-002	4.641498e+000	5.726204e-006
7.814443974671547e-009	1.217824e-001	5.590679e+000	8.988989e-006
8.778043010802479e-009	1.520429e-001	6.467614e+000	1.260843e-005
9.148428995191321e-009	1.643275e-001	6.813564e+000	1.422368e-005
9.259228031222315e-009	1.679280e-001	6.918651e+000	1.475119e-005
9.480826103284302e-009	1.719113e-001	7.129908e+000	1.583947e-005
9.616236857201689e-009	1.681932e-001	7.258877e+000	1.649446e-005
9.763477123130398e-009	1.524875e-001	7.398784e+000	1.716938e-005
9.837931845594314e-009	1.399367e-001	7.469485e+000	1.748520e-005
9.851090555072167e-009	1.374990e-001	7.481995e+000	1.753667e-005
9.877407974027873e-009	1.324836e-001	7.507054e+000	1.763275e-005
9.930042811939284e-009	1.220844e-001	7.557271e+000	1.781063e-005
1.000000000000000e-008	1.079592e-001	7.624143e+000	1.802935e-005
1.000699571880607e-008	1.065458e-001	7.627444e+000	1.804846e-005
1.002098715641822e-008	1.037263e-001	7.634045e+000	1.808568e-005
1.004897003164250e-008	9.814436e-002	7.647241e+000	1.815528e-005
1.010493578209107e-008	8.732237e-002	7.673620e+000	1.827561e-005
1.021686728298822e-008	6.767599e-002	7.726339e+000	1.846398e-005
1.033362709094059e-008	5.060769e-002	7.781248e+000	1.859352e-005
1.049451311122951e-008	3.302027e-002	7.856685e+000	1.867891e-005
1.065615058558173e-008	2.131698e-002	7.932126e+000	1.869147e-005
1.079621468317448e-008	1.481460e-002	7.997097e+000	1.865601e-005
1.092416771399920e-008	1.092084e-002	8.056032e+000	1.859676e-005
1.105795073844478e-008	8.252774e-003	8.117180e+000	1.851712e-005
1.120157854238386e-008	6.431083e-003	8.182289e+000	1.841886e-005
1.134360373378602e-008	5.297053e-003	8.246096e+000	1.831267e-005
1.149660141472757e-008	4.516617e-003	8.314170e+000	1.819107e-005
1.166020262557559e-008	3.976306e-003	8.386194e+000	1.805501e-005
1.185115980637549e-008	3.557086e-003	8.469264e+000	1.789005e-005
1.207013220391065e-008	3.225650e-003	8.563198e+000	1.769414e-005
1.234354390875069e-008	2.926339e-003	8.678522e+000	1.744067e-005
1.268176832838646e-008	2.649233e-003	8.818177e+000	1.711455e-005
1.314101766338456e-008	2.365335e-003	9.002646e+000	1.665121e-005
1.374186161320036e-008	2.090612e-003	9.235382e+000	1.601148e-005
1.455161897295839e-008	1.823593e-003	9.534775e+000	1.509390e-005
1.551315159651867e-008	1.597419e-003	9.869996e+000	1.392406e-005
1.672241741712160e-008	1.392951e-003	1.026219e+001	1.233194e-005
1.814818051140760e-008	1.219375e-003	1.068529e+001	1.028251e-005
